positionne,distanceli,nom,typecapteu,typepostem,nbvoies,moyennejou,debithorai,horairedeb,identifian,identifia0,anneerefer,estvalide,gid,date
2279_V,100,2279_19Mars1962_Pasteur_Brignais,Capteur inductif Criter,Comptage tous véhicules,1,2875.0,308.0,17h00,2279,2555,2023.0,,329,2025-02-25
2043_VM,0,2043_Voie_A7_A450_Marseille,Capteur inductif Criter,Comptage tous véhicules,3,56333.0,4349.0,16h00,2043,-1,2023.0,,488,2025-02-21
733_VR,0,733_Entree_Voies_Nord_XRousse,Capteur inductif Criter,Comptage tous véhicules,2,15615.0,1477.0,08h00,733,-1,2023.0,,2029,2025-03-05
2012_VR,0,2012_Voie_A6_Lyon5_Paris,Capteur inductif Criter,Comptage tous véhicules,2,,,,2012,-1,,,593,2025-02-27
619_V,999,619_Perrache_Belier_M7,Capteur inductif Criter,Comptage tous véhicules,1,28045.0,2204.0,08h00,619,660,2023.0,,1874,2025-03-05
159_V,198,159_Tremie_Direction Lyon centre,Capteur inductif Criter,Comptage tous véhicules,1,7533.0,566.0,08h00,159,285,2023.0,,2539,2025-02-14
388_V,67,388_Villlon_Berthelot_Etats Unis,Capteur inductif Criter,Comptage tous véhicules,1,2770.0,252.0,17h00,388,539,2023.0,,1696,2025-04-06
1534_V,106,1534_du Vivier_Toulon_Vienne,Capteur inductif Criter,Comptage tous véhicules,1,9558.0,713.0,19h00,1534,-1,2023.0,,819,2025-04-07
854_V,90,854_Progres_Rieuperoux_Montgolfier,Capteur inductif Criter,Comptage tous véhicules,1,3864.0,444.0,19h00,854,898,2023.0,,2159,2025-02-10
1217_VL,88,1217_Bloch_Madeleine_Voituret,Capteur inductif Criter,Comptage tous véhicules,2,13484.0,1027.0,08h00,1217,295,2023.0,,1613,2025-02-23
763_VL,58,763_Buyer_4 Colonnes_Trion,Capteur inductif Criter,Comptage tous véhicules,2,4095.0,672.0,18h00,763,97,2023.0,,1818,2025-02-21
468_SN,0,468_Velo_11 Nov._EO,Capteur inductif Criter,Comptage vélo,1,,,,468,-1,,,2314,2025-03-28
311_SN,0,311_Velo_Voutes _SN,Capteur inductif Criter,Comptage vélo,1,1021.0,207.0,08h00,311,-1,2023.0,,2642,2025-03-07
689_VR,0,689_Sortie_Tube_Sud_Duchere,Capteur inductif Criter,Comptage tous véhicules,3,27696.0,3390.0,07h00,689,-1,2023.0,,2139,2025-03-02
2072_VR,0,2072_Voie_A450_SaintGenisLaval_Brignais5,Capteur inductif Criter,Comptage tous véhicules,2,24207.0,2257.0,17h00,2072,-1,2023.0,,145,2025-04-03
1847_VM,0,1847_Voie_PLB_Montchat_Marseille1,Capteur inductif Criter,Comptage tous véhicules,3,83398.0,17036.0,18h00,1847,-1,2023.0,,1802,2025-02-15
609_VR,33,609_Margnolles_Baudrand_Mailly,Capteur inductif Criter,Comptage tous véhicules,2,9680.0,862.0,08h00,609,982,2023.0,,1861,2025-01-17
1441_V,121,1441_Giraud_Gonnard_Rivet,Capteur inductif Criter,Comptage tous véhicules,1,2220.0,201.0,08h00,1441,2366,2023.0,,1157,2025-04-09
919_V,77,919_Commerce_Schumann_Danuble,Capteur inductif Criter,Comptage tous véhicules,1,6421.0,751.0,08h00,919,2294,2023.0,,1186,2025-02-16
578_V,71,578_Philip_Rolland_Dutrievoz,Capteur inductif Criter,Comptage tous véhicules,1,3901.0,399.0,08h00,578,444,2023.0,,1720,2025-02-20
2093_VR,0,2093_Voie_A7_LaurentBonnevay_Paris,Capteur inductif Criter,Comptage tous véhicules,2,51028.0,3638.0,08h00,2093,-1,2023.0,,194,2025-04-08
1069_V,86,1069_Pompidou_Flandin_Richerand,Capteur inductif Criter,Comptage tous véhicules,1,3656.0,377.0,17h00,1069,351,2023.0,,1426,2025-01-27
2061_VR,0,2061_Voie_A450_SaintGenisLaval_Lyon3,Capteur inductif Criter,Comptage tous véhicules,2,32204.0,2762.0,07h00,2061,-1,2023.0,,142,2025-04-04
550_CS,0,550_Velo_Vauban_OE,Capteur inductif Criter,Comptage vélo,1,622.0,134.0,18h00,550,-1,2023.0,,1959,2025-03-05
116_VR,130,116_Gambetta_Thomas_Boisard,Capteur inductif Criter,Comptage tous véhicules,2,16140.0,1341.0,17h00,116,183,2023.0,,2415,2025-03-09
1285_VR,91,1285_Bohlen_Parking CC_Esperence,Capteur inductif Criter,Comptage tous véhicules,2,10151.0,898.0,18h00,1285,-1,2023.0,,770,2025-02-07
476_V,82,476_Coste_Forts_Guyot,Capteur inductif Criter,Comptage tous véhicules,1,5293.0,438.0,07h00,476,-1,2023.0,,2325,2025-02-15
847_V,51,847_Charlemagne_Riboud_Montrochet,Capteur inductif Criter,Comptage tous véhicules,1,2327.0,9.0,15h00,847,2308,2021.0,,1781,2025-03-15
1042_VL,96,1042_Expositions_Grenoble_Parking Eurxpo,Capteur inductif Criter,Comptage tous véhicules,2,3655.0,903.0,18h00,1042,2768,2023.0,,1491,2025-04-04
2002_VR,0,2002_Voie_A6_Vaise_Marseille_1,Capteur inductif Criter,Comptage tous véhicules,2,37660.0,2509.0,16h00,2002,-1,2023.0,,667,2025-01-28
668_V,70,668_Salengro_Colin_Yvonne,Capteur inductif Criter,Comptage tous véhicules,1,6333.0,488.0,18h00,668,2048,2023.0,,2115,2025-03-14
2006_VL,0,2006_Voie_A6_Vaise_Paris_2,Capteur inductif Criter,Comptage tous véhicules,2,35793.0,2935.0,16h00,2006,-1,2023.0,,674,2025-01-26
1212_V,80,1212_Jaures_Bollier_Marot,Capteur inductif Criter,Comptage tous véhicules,1,3749.0,288.0,16h00,1212,528,2023.0,,1581,2025-01-22
2013_V,0,2013_Entrée_A6_QuaisSaône_Paris,Capteur inductif Criter,Comptage tous véhicules,1,,,,2013,-1,,,595,2025-02-05
939_V,69,939_Jaures_Hugo_Saint Exupery,Capteur inductif Criter,Comptage tous véhicules,1,6046.0,536.0,17h00,939,2319,2023.0,,2065,2025-02-17
2114_V,0,2114_Entrée_A7_Solaize_Paris,Capteur inductif Criter,Comptage tous véhicules,1,5908.0,603.0,07h00,2114,-1,2023.0,,538,2025-01-16
2127_VR,0,2127_Voie_A7_Ternay_Paris_3,Capteur inductif Criter,Comptage tous véhicules,3,29140.0,2787.0,07h00,2127,-1,2023.0,,134,2025-04-07
