code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MWL44.L2;DIRO;524444172;N844;44PR7G;250;44PR7G;700;1;OUEST_EST;W;EXTERIEUR;452;0;361174.47;6691485.5;361174.47;6691485.5;NA44
MWL44.L1;DIRO;524444172;N844;44PR7D;380;44PR7D;1050;1;EST_OUEST;Y;INTERIEUR;671;0;361156.38;6691475.0;361156.38;6691475.0;NA44
MB333.N1;DIRA;723333281;A630;19;121;;;1;;;;500;3;;;;;
MZ357.32;DIRE;415757212;A31;57PR291G;900;57PR297G;3;1;NORD_SUD;Y;;5106;0;927714.8;6885407.0;926923.75;6891265.0;ME57
MZ357.31;DIRE;415757212;A31;57PR291D;900;57PR297D;0;1;SUD_NORD;W;;5101;0;927740.56;6885411.5;926946.75;6891277.0;ME57
M07SF.11;DIRSO;733131555;A62;31PR225DC;750;31PR226DC;650;1;NORD_SUD;Y;INTERIEUR;911;0;573149.25;6285295.5;573747.3;6284537.0;TO31
MB333.N2;DIRA;723333281;A630;19;121;;;2;;;;502;3;;;;;
MRc14.S2;DIRNO;;N158;;0;;;2;;;;2986;0;;;;;
MWI35.U1;DIRO;;;;;;;;;;;0;0;;;;;
M07SF.12;DIRSO;733131555;A62;31PR225GC;750;31PR226GC;650;1;SUD_NORD;W;EXTERIEUR;904;0;573168.75;6285301.5;573756.3;6284560.5;TO31
MM413.O1;DIRMED;931313005;A501;13PR2D;482;13PR2D;499;1;SUD_NORD;W;;17;0;908176.9;6247942.0;908176.9;6247942.0;MA13
MWI35.U2;DIRO;;;;;;;;;;;0;0;;;;;
A0001A10321;DIRN;;;;0;;;;;;;0;0;;;;;
A0022023100;DIRN;;;;0;;;;;;;0;0;;;;;
MM413.G1;DIRMED;931313005;A50;13PR15D;345;13PR15D;349;1;OUEST_EST;Y;;4;0;908761.44;6246264.5;908761.44;6246264.5;MA13
MM113.E1;DIRMED;931313106;A51;13PR2D;530;13PR2D;962;1;SUD_NORD;W;;433;0;891531.6;6259567.0;891531.6;6259567.0;MA13
MM513.X1;DIRMED;931313071;A55;13PR12D;666;13PR13D;166;1;EST_OUEST;W;;499;0;887070.0;6256909.0;886395.0;6257631.0;MA13
KAR14.22;DIRNO;251414118;N814;14PR8G;305;14PR9G;5;1;OUEST_EST;W;INTERIEUR;688;0;453326.84;6904811.0;452324.44;6904883.5;CA14
MM213.N1;DIRMC;;;;0;;;;;;;0;0;;;;;
MM713.r2;DIRMED;931313071;A7;13PR269G;326;13PR269G;826;1;SUD_NORD;W;;497;0;888626.3;6259205.0;888626.3;6259205.0;MA13
KAR14.21;DIRNO;251414118;N814;14PR8D;305;14PR9D;5;1;EST_OUEST;Y;EXTERIEUR;690;0;453328.44;6904829.0;452323.66;6904901.0;CA14
M07SF.91;DIRSO;733131555;A61;31PR235DC;150;31PR237DC;350;1;OUEST_EST;Y;INTERIEUR;2198;0;578311.44;6278340.0;578565.8;6276391.5;TO31
MB333.O2;DIRA;723333039;A631;33PR0G;443;33PR0G;927;1;NORD_SUD;Y;;490;0;420611.4;6417667.0;420611.4;6417667.0;BX33
MM813.A1;DIRMED;931313106;A7;13PR271D;850;13PR272D;350;1;NORD_SUD;Y;;496;0;890367.06;6258436.0;890544.1;6257460.0;MA13
MB333.O1;DIRA;723333039;A631;33PR0D;781;;0;1;SUD_NORD;W;;1496;0;420617.1;6417596.0;;;BX33
MB133.v2;DIRA;723333284;A63;19;115;;;2;;;;3587;2;;;;;
MBW87.81;DIRCO;748787085;A20;87PR176D;700;87PR177D;600;1;NORD_SUD;Y;;1122;0;567591.9;6533559.0;567213.5;6532419.0;LI87
MBW87.82;DIRCO;;;;0;;;;;;;0;0;;;;;
A22TC020102;DIRN;;;;0;;;;;;;0;0;;;;;
A22TC020101;DIRN;;;;0;;;;;;;0;0;;;;;
MM413.H1;DIRMED;931313005;A502;13PR0D;500;13PR1D;0;1;OUEST_EST;Y;;510;0;909064.0;6246110.0;910033.0;6246165.0;MA13
MM113.D1;DIRMED;931313106;A51;13PR2D;30;13PR2D;530;1;SUD_NORD;W;;502;0;891531.6;6259567.0;891531.6;6259567.0;MA13
MM713.s2;DIRMED;931313071;A7;13PR269G;790;13PR270G;290;1;SUD_NORD;W;;505;0;888626.3;6259205.0;889599.1;6259018.5;MA13
M07SF.72;DIRSO;733131555;A61;31PR231GC;100;31PR231GC;800;1;EST_OUEST;W;EXTERIEUR;698;0;577241.75;6282079.0;577241.75;6282079.0;TO31
MB333.P2;DIRA;723333039;A631;33PR0G;927;;0;1;NORD_SUD;Y;;345;3;420611.4;6417667.0;;;BX33
MGR69.A2;DIRCE;;;;0;;;;;;;0;0;;;;;
M07SF.71;DIRSO;733131555;A61;31PR231DC;100;31PR231DC;800;1;OUEST_EST;Y;INTERIEUR;699;0;577216.8;6282074.5;577216.8;6282074.5;TO31
MGR69.A1;DIRCE;;;;0;;;;;;;0;0;;;;;
MM813.B1;DIRMED;931313106;A7;13PR271D;850;13PR273D;690;1;NORD_SUD;Y;;2338;0;890367.06;6258436.0;890643.2;6256469.0;MA13
MBW87.71;DIRCO;748787085;A20;87PR175D;300;87PR176D;700;1;NORD_SUD;Y;;1220;0;567595.56;6534386.5;567591.9;6533559.0;LI87
Mm713.N1;DIRMED;931313071;A552;13PR0D;0;13PR0D;500;1;EST_OUEST;W;;507;0;886992.0;6258788.0;886992.0;6258788.0;MA13
MWC22.L2;DIRO;532222187;N0012;62;280;;;2;;;;2983;2;;;;;
WAV76.21;DIRNO;237676503;A151;76PR4D;792;76PR6D;216;1;SUD_NORD;Y;;1440;0;556457.94;6938906.0;557935.7;6940270.5;RO76
MWC22.L1;DIRO;532222187;N0012;62;280;;;1;;;;3683;2;;;;;
WAV76.22;DIRNO;237676503;A151;76PR4G;792;76PR6G;216;1;NORD_SUD;W;;1438;0;556451.1;6938916.0;557920.44;6940276.0;RO76
MM413.I1;DIRMED;931313005;A502;13PR0D;984;13PR1D;484;1;OUEST_EST;Y;;512;0;909064.0;6246110.0;910033.0;6246165.0;MA13
MY569.H1;DIRCE;826969027;A0450;5;104;;;1;;;;0;0;;;;;
MQR69.W1;DIRCE;;;;0;;;;;;;0;0;;;;;
MY569.H2;DIRCE;826969027;A0450;5;105;;;2;;;;0;0;;;;;
MM113.C1;DIRMED;931313106;A51;13PR1D;508;13PR2D;8;1;SUD_NORD;W;;503;0;890942.6;6258775.5;891531.6;6259567.0;MA13
MM213.P1;DIRMED;931313055;A507;13PR9D;6;13PR9D;135;1;NORD_SUD;Y;;129;0;897010.06;6245971.5;897010.06;6245971.5;MA13
MM713.t2;DIRMED;931313071;A7;13PR270G;318;13PR270G;818;1;SUD_NORD;W;;498;0;889599.1;6259018.5;889599.1;6259018.5;MA13
MQR69.W2;DIRCE;;;;0;;;;;;;0;0;;;;;
A0022012010;DIRN;;;;0;;;;;;;0;0;;;;;
M07SF.61;DIRSO;733131555;A61;31PR230DC;500;31PR231DC;100;1;OUEST_EST;Y;INTERIEUR;599;0;577106.1;6283075.5;577216.8;6282074.5;TO31
MB233.D1;DIRA;723333318;A630;33PR22D;977;33PR24D;220;1;NORD_SUD;Y;EXTERIEUR;710;3;411230.72;6417593.5;412498.6;6416469.0;BX33
M07SF.62;DIRSO;733131555;A61;31PR230GC;500;31PR231GC;100;1;EST_OUEST;W;EXTERIEUR;599;0;577130.6;6283079.5;577241.75;6282079.0;TO31
MB233.D2;DIRA;723333318;A630;33PR22G;962;33PR24G;211;1;SUD_NORD;W;INTERIEUR;705;3;411234.62;6417595.0;412498.3;6416473.5;BX33
MZE54.K1;DIRE;415454328;A33;54PR10D;50;54PR12D;600;1;OUEST_EST;Y;;2574;0;934351.0;6841210.0;935922.0;6840105.0;NA54
A0025022120;DIRN;;;;0;;;;;;;0;0;;;;;
MWC22.O1;DIRO;532222389;N0012;48;720;;;1;;;;3554;2;;;;;
MZE54.K2;DIRE;415454328;A33;54PR10G;500;54PR12G;600;1;EST_OUEST;W;;2096;0;934375.0;6841202.0;935926.0;6840117.0;NA54
MWI35.Z2;DIRO;533535051;N0136;24;335;;;2;;;;2594;2;;;;;
MWI35.Z1;DIRO;;;;;;;;;;;0;0;;;;;
KAR76.D3;DIRNO;;;;0;;;;;;;0;0;;;;;
MBZ19.D2;DIRCO;;A20;;0;;;2;;;;2781;0;;;;;
KAR76.D1;DIRNO;237676541;A150;76PR10D;440;76PR11D;394;1;SUD_NORD;Y;;951;0;553938.44;6936805.0;553250.25;6937543.0;RO76
KAR76.D2;DIRNO;237676541;A150;76PR10G;440;76PR11G;394;1;NORD_SUD;W;;948;0;553919.56;6936799.0;553236.06;6937527.5;RO76
MWC22.O2;DIRO;532222389;N0012;48;720;;;2;;;;3354;2;;;;;
N0227020600;DIRN;;;;0;;;;;;;0;0;;;;;
MQR69.X1;DIRCE;;;;0;;;;;;;0;0;;;;;
MQR69.X2;DIRCE;;;;0;;;;;;;0;0;;;;;
MM113.B1;DIRMED;931313106;A51;13PR1D;9;13PR1D;509;1;SUD_NORD;W;;497;0;890942.6;6258775.5;890942.6;6258775.5;MA13
MB333.R1;DIRA;723333550;A62;33PR0D;782;33PR0D;1835;1;NORD_SUD;Y;;1050;2;418863.3;6415162.5;418863.3;6415162.5;BX33
MbW87.11;DIRCO;748787085;A20;87PR181D;0;87PR182D;300;1;NORD_SUD;Y;;1121;0;566250.3;6529093.5;566489.56;6528310.0;LI87
MM713.u2;DIRMED;931313071;A7;13PR270G;833;13PR271G;333;1;SUD_NORD;W;;500;0;889599.1;6259018.5;890385.0;6258442.0;MA13
A0022012020;DIRN;;;;0;;;;;;;0;0;;;;;
MbW87.12;DIRCO;748787085;A20;87PR181G;0;87PR182G;300;1;SUD_NORD;W;;1117;0;566265.8;6529090.0;566508.94;6528314.0;LI87
M07SF.51;DIRSO;733131555;A62;31PR229DC;650;31PR229DC;785;1;NORD_SUD;Y;INTERIEUR;135;0;576626.56;6283912.5;576626.56;6283912.5;TO31
MB333.R4;DIRA;723333550;A62;33PR0G;1480;33PR1G;425;1;SUD_NORD;W;;674;2;418888.9;6415116.0;419272.78;6413551.5;BX33
MB333.R3;DIRA;723333550;A62;33PR0D;1835;33PR1D;425;1;NORD_SUD;Y;;674;2;418863.3;6415162.5;419268.72;6413549.0;BX33
A0025022130;DIRN;;;;0;;;;;;;0;0;;;;;
MB333.R2;DIRA;723333550;A62;33PR0G;415;33PR0G;1460;1;SUD_NORD;W;;1050;2;418888.9;6415116.0;418888.9;6415116.0;BX33
M07SF.52;DIRSO;733131555;A62;31PR229GC;650;31PR229GC;786;1;SUD_NORD;W;EXTERIEUR;137;0;576643.6;6283930.5;576643.6;6283930.5;TO31
KAR76.C2;DIRNO;237676540;N31;76PR1G;365;76PR2G;344;1;EST_OUEST;W;;1013;0;564326.0;6927981.0;565281.2;6928035.5;RO76
MM513.Y1;DIRMED;931313071;A55;13PR13D;416;13PR13D;916;1;EST_OUEST;W;;497;0;886395.0;6257631.0;886395.0;6257631.0;MA13
KAR76.C1;DIRNO;237676540;N31;76PR1D;365;76PR2D;344;1;OUEST_EST;Y;;1013;0;564357.5;6927860.0;565287.4;6928027.0;RO76
MM413.K1;DIRMED;931313005;A501;13PR0D;59;13PR0D;559;1;SUD_NORD;W;;500;0;906833.56;6246549.0;906833.56;6246549.0;MA13
MM113.j2;DIRMED;931313015;A51;13PR5G;93;13PR5G;775;1;NORD_SUD;Y;;687;0;893275.94;6261691.5;893275.94;6261691.5;MA13
MWL44.b2;DIRO;524444020;N844;44PR22G;900;44PR23G;743;1;OUEST_EST;W;EXTERIEUR;836;0;352848.34;6684539.5;352053.62;6685136.5;NA44
MWL44.b1;DIRO;524444020;N844;44PR23D;0;44PR23D;756;1;EST_OUEST;Y;INTERIEUR;743;0;352071.25;6685144.0;352071.25;6685144.0;NA44
MM413.C1;DIRMED;931313005;A50;13PR13D;380;13PR13D;810;1;OUEST_EST;Y;;429;0;906910.4;6246586.0;906910.4;6246586.0;MA13
MM513.m2;DIRMED;931313055;A55;13PR5G;676;13PR6G;176;1;OUEST_EST;Y;;502;0;890515.0;6251715.0;890195.0;6252649.0;MA13
MM813.g2;DIRMED;931313055;A7;13PR275G;0;13PR275G;590;1;SUD_NORD;W;;590;0;891431.1;6254781.5;891431.1;6254781.5;MA13
MB333.S2;DIRA;723333080;A62;33PR2G;130;33PR2G;736;1;SUD_NORD;W;;606;2;419568.0;6412608.0;419568.0;6412608.0;BX33
