id,gid,code_zone,zone,date,date_dif,code_pol,polluant,etat,niveau,com_court,commentaire,OBJECTID,SHAPE__Area,SHAPE__Length
96,96,2009,Vallée du Rhône,2025-04-07,2025-04-06,5,Particules PM10,INFORMATION ET RECOMMANDATION,#FEFE00,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",96,6760147455.34399,714147.276907234
97,97,2015,Zone Alpine Haute-Savoie,2025-02-01,2025-01-31,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,97,5028461384.83838,713618.552774131
98,98,2015,Zone Alpine Haute-Savoie,2025-01-19,2025-01-18,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,98,5028461384.83838,713618.552774131
99,99,2015,Zone Alpine Haute-Savoie,2025-03-17,2025-03-16,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,99,5028461384.83838,713618.552774131
100,100,2015,Zone Alpine Haute-Savoie,2025-02-01,2025-01-31,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,100,5028461384.83838,713618.552774131
101,101,2015,Zone Alpine Haute-Savoie,2025-01-29,2025-01-28,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,101,5028461384.83838,713618.552774131
102,102,2015,Zone Alpine Haute-Savoie,2025-02-16,2025-02-15,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,102,5028461384.83838,713618.552774131
103,103,2018,Puy-de-Dôme,2025-02-25,2025-02-24,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,103,16418574390.5728,676127.767219245
104,104,2018,Puy-de-Dôme,2025-01-25,2025-01-24,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,104,16418574390.5728,676127.767219245
105,105,2018,Puy-de-Dôme,2025-01-20,2025-01-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,105,16418574390.5728,676127.767219245
106,106,2018,Puy-de-Dôme,2025-03-20,2025-03-19,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,106,16418574390.5728,676127.767219245
107,107,2018,Puy-de-Dôme,2025-02-03,2025-02-02,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",107,16418574390.5728,676127.767219245
