code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
931313071.0,A7,884866.3,6259737.5,884866.3,6259737.5,635,MA13
824242330.0,A72,805515.9,6487492.0,803677.25,6488278.0,1697,ST42
824242330.0,A72,805521.1,6487504.5,803684.0,6488292.0,1696,ST42
723333039.0,A630,420142.7,6416788.5,420142.7,6416788.5,617,BX33
723333039.0,A630,420145.34,6416787.5,420145.34,6416787.5,597,BX33
415757647.0,A30,924807.0,6917280.5,916799.3,6921048.0,9756,ME57
415757647.0,A30,924799.3,6917260.5,916784.2,6921042.0,9779,ME57
723333249.0,A630,423043.94,6426845.0,422479.7,6426786.5,383,BX33
723333249.0,A630,423039.16,6426853.5,422479.5,6426797.0,330,BX33
733131022.0,A62,572812.75,6286110.0,573149.25,6285295.5,1053,TO31
733131022.0,A62,572839.75,6286118.0,573168.75,6285301.5,1057,TO31
237676540.0,A150,559383.0,6929517.0,559082.7,6929701.0,1291,RO76
237676540.0,A150,559373.0,6929510.0,559074.75,6929696.0,1279,RO76
415757582.0,A31,930874.25,6913297.0,931546.8,6916121.0,2059,ME57
415757582.0,A31,930900.6,6914291.5,931568.94,6916124.5,1998,ME57
723333063.0,A630,418245.84,6427222.0,418245.84,6427222.0,790,BX33
723333063.0,A630,418249.56,6427235.0,418249.56,6427235.0,790,BX33
237676319.0,N138,555520.5,6917919.5,556329.0,6918511.0,1462,RO76
237676319.0,N138,555522.5,6917911.5,556333.0,6918503.0,1464,RO76
723333122.0,A63,407488.06,6412417.5,405188.0,6410534.5,3084,BX33
415454571.0,A33,940919.0,6840363.0,948729.0,6839172.0,8480,NA54
415454571.0,A33,940917.0,6840376.0,948732.0,6839184.0,8487,NA54
723333122.0,A63,407505.47,6412397.5,405197.75,6410508.5,1434,BX33
931313055.0,A50,895313.0,6245771.5,896303.8,6245844.5,500,MA13
931313106.0,A517,890190.0,6258680.0,890190.0,6258680.0,508,MA13
723333162.0,A630,412495.34,6425798.5,412495.34,6425798.5,438,BX33
723333162.0,A630,412494.03,6425801.0,412494.03,6425801.0,436,BX33
251414437.0,N814,458507.72,6900426.0,459037.7,6901251.0,615,CA14
931313106.0,A7,890385.0,6258442.0,890575.56,6257459.0,530,MA13
931313055.0,A50,896303.8,6245844.5,896303.8,6245844.5,499,MA13
723333281.0,A630,409711.9,6419884.5,409711.9,6419884.5,627,BX33
723333281.0,A630,409715.88,6419885.5,409715.88,6419885.5,528,BX33
931313055.0,A55,888955.0,6254734.0,888158.0,6255320.0,466,MA13
931313055.0,A50,895313.0,6245771.5,895313.0,6245771.5,500,MA13
931313106.0,A51,890563.0,6257972.0,890942.6,6258775.5,460,MA13
415454547.0,A33,931213.0,6843102.0,934351.0,6841210.0,4028,NA54
748787085.0,A20,566489.56,6528310.0,566824.25,6527616.5,1372,LI87
415454547.0,A33,931224.0,6843110.0,934375.0,6841202.0,4049,NA54
723333550.0,A630,416460.53,6415707.0,416460.53,6415707.0,565,BX33
723333550.0,A630,416459.2,6415704.0,416459.2,6415704.0,566,BX33
733131555.0,A62,575698.0,6284274.5,576626.56,6283912.5,953,TO31
